epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,0.7830642220232136,0.7704965509978411,0.343183693131503,0.891213389121339,242.2
2,0.45469750862639824,0.8514296245590016,0.24035729361281308,0.9218557715973419,237.1
3,0.4282930601164789,0.8594860723500606,0.23927214399526603,0.9211174009352695,235.6
4,0.40803634409975786,0.8672792375335685,0.22531738593406955,0.9259168102387398,236.6
5,0.3873269934644443,0.8747564635880154,0.2283209696533115,0.9261629337927639,237.2
6,0.38122182796209964,0.8733084092464852,0.22588223350925887,0.9253015013536795,237.2
7,0.3816000736285132,0.875493654889158,0.19247377740318716,0.932439084420379,275.5
8,0.3755074256900538,0.8775735874888105,0.2068391283563747,0.9340388875215359,301.5
9,0.3721797985398093,0.8791796113948712,0.24721428072003226,0.918040856509968,238.4
10,0.3746308186147634,0.8793375809594018,0.22725076684786716,0.9255476249077037,247.3
11,0.3766815764983993,0.8787320309620347,0.20317159578034075,0.9317007137583067,238.1
12,0.3301978272150355,0.8918435048180717,0.18186880569284314,0.9396997292640906,238.3
13,0.3215029548584307,0.8950818808909483,0.17312570658911028,0.942530150135368,259.9
14,0.31631385795307176,0.8963982939287031,0.16226575850208141,0.9432685207974403,246.7
15,0.29797854338498997,0.902216839555579,0.1722425051053439,0.9430223972434162,249.3
